id,username,followers,friends,statuses,favourites,lists,mentions,retweets,source
1652541,Reuters,2792288,1056,86099,191,68754,42,2,TweetDeck
3108351,WSJ,2727005,681,51680,501,61992,101,1117,SocialFlow
91478624,Forbes,1499825,359,31040,4,20207,37,404,TweetDeck
989,om,1339399,1107,31352,802,11026,0,14,Tweetbot for iOS
8841372,SAI,1283463,24,51663,3,10561,59,312,Business Insider
4898091,FinancialTimes,1201075,546,35709,1,23797,3,37,SocialFlow
20402945,CNBC,1077131,734,23523,659,13925,685,1455,web
34713362,BloombergNews,880370,529,38147,115,19015,130,6,HootSuite
25053299,FortuneMagazine,825469,418,18395,28,13425,10,53,Sprout Social
14885549,ForbesTech,808364,16605,23820,1,14768,5,48,SocialFlow
18949452,FT,768984,430,33004,0,16513,11,29,SocialFlow
15935591,CMEGroup,751855,8526,23688,1261,3674,9,156,StockTwits Web
16827489,CBOE,734831,2417,9722,1,2395,7,69,StockTwits Web
624413,MarketWatch,684948,139,35487,12,12159,113,752,SocialFlow
14216123,jimcramer,637751,178,30819,276,8019,445,267,TweetDeck
21124751,louisvelazquez,613869,309,11549,4,25,0,0,Mega Hoot
15208246,wired_business,531920,212,6153,114,4514,0,7,Buffer
15110357,ReutersBiz,529474,18,56419,1,10185,2,1,TweetDeck
16664681,latimes,505565,11216,52902,853,16681,7,8,HootSuite
16184358,CNNMoney,504808,834,44155,10,11858,19,75,twitterfeed
238610781,Danooyl,447871,3307,13597,115,18,0,0,UberSocialå© PRO
352947624,GSElevator,430468,0,998,67,3269,10,0,Twitter for iPhone
15568127,themotleyfool,407968,3861,21172,11,5136,18,24,Sprout Social
323191980,CamacConsulting,373470,18,10277,765,11,0,1,web
196168350,AnnCoulter,344246,242,5070,9,5922,0,0,Twitter for iPhone
13396002,thejimjams,322576,327459,15934,1,4379,0,1,Twitter for iPad
226828258,financialbuzz,317961,2100,2371,4,3,0,0,web
972018818,miawesbrooks,314618,645,3129,94,5,10,9,web
24636191,LukeRomyn,279363,248028,89731,71,5007,7,0,web
14886375,StockTwits,279021,116003,33531,6,5145,74,250,StockTwits Web
21323268,NYSEEuronext,248599,2906,15138,1157,1765,11,7,web
15905103,planetmoney,243053,276,6356,3,6671,0,10,HootSuite
7517052,howardlindzon,237073,867,58541,1792,2834,27,46,Twitter for iPhone
26688218,DavidDginger,225583,233,26824,318,24,0,0,web
18639734,NASDAQ,213354,762,7130,0,3723,6,17,NASDAQ.com
15676492,Ford,209536,32908,10660,149,3833,30,32,StockTwits Web
35274968,SteveTappin,202361,72363,1299,21,320,1,10,web
19546277,YahooFinance,201771,968,38990,560,4522,72,128,Twitter for Android
518510611,WorldOfCEOs,198585,89984,1311,6,280,0,4,StockTwits Web
20562637,businessinsider,196551,30,109768,0,8621,48,425,Business Insider
113422725,ShaileshTR,184857,158027,11288,9,921,0,17,web
230723893,AwesomeStocks,182299,46477,100,82,314,0,2,web
