id,username,followers,friends_count,statuses_count,favourites_count,listed_count,mentions,retweets,source,p_follow,p_retweet,p_mention,weighted
20402945,CNBC,1077131,734,23523,659,13925,685,1455,web,495,500,500,1495
3108351,WSJ,2727005,681,51680,501,61992,101,1117,SocialFlow,499,499,488,1486
14216123,jimcramer,637751,178,30819,276,8019,445,267,TweetDeck,487,492,499,1478
624413,MarketWatch,684948,139,35487,12,12159,113,752,SocialFlow,488,498,491,1477
8841372,SAI,1283463,24,51663,3,10561,59,312,Business Insider,497,494,472,1463
91478624,Forbes,1499825,359,31040,4,20207,37,404,TweetDeck,498,495,456,1449
14886375,StockTwits,279021,116003,33531,6,5145,74,250,StockTwits Web,481,491,479,1451
19546277,YahooFinance,201771,968,38990,560,4522,72,128,Twitter for Android,475,483,477,1435
20562637,businessinsider,196551,30,109768,0,8621,48,425,Business Insider,474,497,464,1435
35002876,BloombergTV,127401,436,25712,34,3786,59,128,HootSuite,470,483,472,1425
16184358,CNNMoney,504808,834,44155,10,11858,19,75,twitterfeed,484,478,414,1376
7517052,howardlindzon,237073,867,58541,1792,2834,27,46,Twitter for iPhone,479,459,439,1377
14115408,optionmonster,43593,323,25420,10,1463,122,73,TweetDeck,448,476,494,1418
22522178,ReformedBroker,44196,2284,53024,17941,1877,99,74,StockTwits Web,449,477,486,1412
15676492,Ford,209536,32908,10660,149,3833,30,32,StockTwits Web,477,437,445,1359
18858395,WSJMoneyBeat,43157,371,8568,0,1470,55,135,TweetDeck,446,487,469,1402
114782468,carlquintanilla,39345,1130,10001,6,923,65,133,TweetDeck,442,485,474,1401
23059499,SeekingAlpha,32615,0,174647,0,1364,57,420,Seeking Alpha,432,496,471,1399
6730222,hblodget,76807,439,22170,12,3206,50,25,TweetDeck,465,424,467,1356
19988458,DougKass,58905,1182,11812,15,1723,48,25,TweetDeck,460,424,464,1348
56413858,FoxBusiness,145088,241,49872,2,3539,15,47,Janetter,472,461,387,1320
16732770,cnbcfastmoney,44988,199,17371,23,1284,127,23,web,451,414,495,1360
15568127,themotleyfool,407968,3861,21172,11,5136,18,24,Sprout Social,483,419,407,1309
15935591,CMEGroup,751855,8526,23688,1261,3674,9,156,StockTwits Web,490,488,335,1313
25053299,FortuneMagazine,825469,418,18395,28,13425,10,53,Sprout Social,493,467,343,1303
44060322,Benzinga,30885,792,42082,11,839,31,231,web,429,490,448,1367
18949452,FT,768984,430,33004,0,16513,11,29,SocialFlow,491,431,356,1278
15281391,TheStreet,56979,571,99593,5,2203,101,13,HootSuite,459,363,488,1310
18378349,KeithMcCullough,23780,416,70943,5,935,117,85,TweetDeck,411,481,492,1384
143949701,ReutersInsider,25344,5655,12827,141,943,43,179,web,417,489,462,1368
